id,negative,positive
1367863266786091008,-2,2
1367860476667961349,-3,1
1367855950049251328,-3,1
1367836616442646528,-1,2
1367821301197516800,-1,1
1367820631342014472,-1,1
1367820627571261440,-1,1
1367820107628576768,-1,2
1367819835409903623,-1,1
1367818072569085953,-1,1
1367817690019209217,-1,1
1367817155048267776,-1,1
1367815218642948101,-1,1
1367813901467942918,-1,1
1367812425567903746,-1,2
1367811513763921922,-1,2
1367809833890643984,-1,2
1367809551840538625,-1,1
1367801451272155148,-1,1
1367784984833048581,-1,1
1367768908262948867,-1,1
1367765384540086276,-1,2
1367494585186934790,-1,2
1367494052132900879,-1,2
1367492224875966471,-1,1
1367488281529769987,-1,2
1367477511760797702,-1,1
1367452268929445892,-1,1
1367421510579855360,-1,1
1367146306121138179,-1,1
1367142332500475904,-1,1
1367135762022555655,-1,1
1367134425939660808,-1,1
1367134422634496015,-1,1
1367134021214474241,-1,1
1367130442013491201,-1,1
1367120620878716932,-1,1
1367111996697677831,-1,1
1367107889089904650,-1,1
1367098585796538368,-3,1
1367093088343252996,-1,1
1367089966636027904,-1,1
1367087286563852290,-1,1
1367081660408352772,-1,1
1367064680171266048,-1,1
1367064676979384320,-1,2
1367058403571490817,-2,1
1366782845117730817,-1,1
1366777572143616000,-1,1
1366773891314683907,-1,2
1366772957117362176,-1,1
1366756845256388608,-1,1
1366742130358689794,-1,1
1366708514098450434,-1,1
1366697296092672002,-1,1
1366682195067359232,-1,1
1366676088735285249,-1,1
1366674545852227589,-1,1
1366420964351836164,-1,1
1366420961264812032,-1,1
1366411577809846273,-1,1
1366400757705097217,-1,2
1366400016596803586,-1,1
1366399734060093440,-1,1
1366399728267776002,-1,1
1366396920948752387,-1,1
1366380967330463744,-2,1
1366337323852570624,-1,1
1366312566285295616,-1,1
1366310729087819776,-1,1
1365332717240545281,-1,1
1365327277073068032,-1,2
1365325660433117190,-1,1
1365325066263810048,-1,1
1365324821350002690,-1,1
1365296555759181824,-1,1
1365274776537886725,-1,1
1365260352158629888,-1,1
1365230698177699842,-1,1
1365208531260047363,-1,1
1364905046450851840,-1,1
1364886283491958787,-1,1
1364859254977486852,-1,1
1364850732290232320,-1,1
1364606154144428035,-1,1
1364603088087171082,-2,1
1364600198174035968,-1,1
1364585940023451648,-2,1
1364575676813172742,-1,1
1364563274843512832,-1,1
1364559977826893824,-1,2
1364540354779877380,-1,1
1364535537722396673,-1,1
1364520208065527810,-1,1
1364502486057369602,-1,1
1364479560859983872,-1,1
1364248177231212550,-1,1
1364243857559465988,-1,1
1364231197241585664,-2,1
1364196796529057792,-1,1
1364185832282869763,-2,1
1364181297443266561,-1,1
1364180986011992065,-1,1
1364143867256336384,-1,1
1363887330197712896,-1,1
1363881166521122816,-2,1
1363800641093722115,-1,1
1363800279112708096,-1,1
1363518062809518084,-1,1
1362790207301550088,-1,1
1362788226822508545,-1,1
1362787539522887683,-1,1
1362784125070036992,-1,1
1362744849133432834,-1,2
1362742075251425283,-2,1
1362734726361067520,-1,1
1362734175397310473,-1,1
1362727606098010119,-1,1
1362717878525509633,-1,1
1362716779026538498,-2,1
1362710376530522112,-1,1
1362435337574903808,-1,1
1362434418577707009,-1,1
1362433455209000961,-1,1
1362432249858301953,-1,2
1362345459348602882,-1,1
1362343373047296000,-1,2
1362320546906701825,-1,1
1362306527856648194,-1,1
1362298686726955010,-1,1
1362019773337509889,-1,1
1362011944077692931,-1,1
1361983707951808517,-1,1
1361951205438746625,-1,1
1361700237472108545,-1,1
1361696596027662336,-1,1
1361695343155548163,-1,1
1361681736845975556,-1,1
1361647766729064448,-1,1
1361619406313422849,-1,1
1361617338034970627,-1,1
1361590222077759488,-1,1
1361336518682570753,-1,1
1361336415171264522,-1,1
1361333958747766784,-1,1
1361330681301901319,-1,1
1361330343207403521,-1,1
1361326897557348352,-1,1
1361326845707378691,-1,1
1361325507036512257,-1,1
1361324743975198721,-1,1
1361321943690055681,-1,1
1361320072002891781,-1,2
1361316374027632645,-1,1
1361311237380923392,-1,1
1361255650278400000,-1,1
1361233098709622784,-1,1
1361032203275300868,-1,1
1360508594966396930,-1,1
1360285518987227136,-1,1
1360285017868484612,-1,1
1360283411794055168,-1,1
1360282365147381769,-1,1
1360278185884200962,-1,2
1360258514594263050,-1,1
1360257899629588483,-1,1
1360255421731209225,-1,1
1360254687807746050,-2,2
1360251886075604994,-1,1
1360246733448560645,-1,1
1360246006139547650,-1,2
1360244169906733057,-2,1
1360237674024628226,-1,1
1360237469342515201,-1,1
1360229742100828160,-1,2
1360213032190816258,-2,1
