,id,text,negative,positive,neutral
0,1367863266786091008,RT @Politie_Rdam: Let op: Prikfraudeurs actief! Onlangs zijn twee dames op leeftijd slachtoffer geworden van deze fraudeurs in #Heerjansdam…,-2,2,-1
1,1367860476667961349,"@GabyRuiten @Rijkswaterstaat Hallo Gaby, wij zijn niet betrokken bij het onderzoek van de 26 locaties waar TGG is t… https://t.co/i1KCiMAttr",-3,1,-1
2,1367855950049251328,"RT @MinVWS: Een veelgestelde vraag, waar wij graag het antwoord op geven: hoe ontvang je een persoonlijke uitnodiging voor coronavaccinatie…",-3,1,-1
3,1367836616442646528,@MinkeAV Hoi Minke. Bedankt voor je berichtje! Ik zet het signaal intern door dat er behoefte is aan een Arabische… https://t.co/6ikDS7WM8t,-1,2,1
4,1367821301197516800,@engel124 Hi Angelique. Het gaat om mensen die geboren zijn in de geboortejaren 1941 tot en met 1946. Zie ook het nieuwsbericht. ^ms,-1,1,0
5,1367820631342014472,@BartBlaauw schoongemaakt is. Zie https://t.co/9ivPslq2sZ voor meer info. ^ms 2/2,-1,1,0
6,1367820627571261440,@BartBlaauw Hi Bart. De kans dat je het virus krijgt door uit een glas te drinken dat is gebruikt door iemand die n… https://t.co/4pxuTLUxFO,-1,1,0
7,1367820107628576768,@claud0000000 Het gaat om mensen die geboren zijn in de geboortejaren 1941 tot en met 1946. ^ms,-1,2,1
8,1367819835409903623,@Marijke11071986 Je kunt ook altijd even overleggen met je huisarts over jouw persoonlijke situatie. ^ms,-1,1,0
9,1367818072569085953,"@cocainekindalit Hallo Chrissy, Dat is idd wel heel lang om elkaar niet live te zien. Ik vrees dat het nog niet ech… https://t.co/ZOkIixeEGW",-1,1,0
10,1367817690019209217,@Reemsel_92 Hi Remi. Er kan hier een melding gemaakt worden van klachten of signalen over de veiligheid van de werk… https://t.co/iAFrvcp1aT,-1,1,0
11,1367817155048267776,@beursjes Hi Els. Je kunt hier de volgorde van vaccinatie vinden zoals deze momenteel is: https://t.co/4Mk0DQXXvy. ^ms,-1,1,0
12,1367815218642948101,@e_rik Hi Erik. De informatie op het dashboard wordt iedere dag geüpdatet. ^ms,-1,1,0
13,1367813901467942918,@albertsteeman Hi Albert. Je kunt hier meer info vinden over de rioolwatersurveillance: https://t.co/wC9b3SwkB2. ^ms,-1,1,0
14,1367812425567903746,@DrZemouri Dank voor je opmerking! @MinVWS is verantwoordelijk voor de inrichting van het dashboard coronavirus. Mi… https://t.co/NzxtVnoISN,-1,2,1
15,1367811513763921922,@blauwgeler @RIVM_vDissel Hi Lars! Ja de PCR-test test specifiek op het coronavirus SARS-CoV-2 dat COVID-19 kan ver… https://t.co/RbQjCgqr97,-1,2,1
16,1367809833890643984,@plopnl Hi! In het nieuwsbericht en het rapport kun je lezen waarom nicotinezakjes schadelijk kunnen zijn. ^ms,-1,2,1
17,1367809551840538625,Vanaf morgen ontvangen de eerste 75 t/m 79-jarigen een uitnodiging voor een #coronavaccinatie. In totaal gaat het o… https://t.co/WSPCgmbQT0,-1,1,0
18,1367801451272155148,"@Marijke11071986 Hoi Marijke. Mensen met diabetes die slecht ingesteld zijn en/of met complicaties, behoren inderda… https://t.co/4tcLFcnTRX",-1,1,0
19,1367784984833048581,@ulrica_delamar Hi Ulrica. Je kunt deze vraag stellen aan @Rijksoverheid. ZIj gaan over de regels en maatregelen. ^ms,-1,1,0
20,1367768908262948867,@JMRossel1 @MinVWS Je kunt hier de volgorde van vaccinatie vinden zoals deze nu is: https://t.co/tTCmP9kbuW. ^ms,-1,1,0
21,1367765384540086276,@Yzmrahim Hi! In het nieuwsbericht staat ook aangegeven dat het vooral voor jongeren en iedereen die nog nooit nico… https://t.co/Ukhm6nZixz,-1,2,1
22,1367494585186934790,@KellyOverCorona Ja het geldt ook voor huishoudelijke hulp! Zie ook https://t.co/xNisTsxE2r voor meer toelichting. ^ms,-1,2,1
23,1367494052132900879,@yoloandenjoy @hugodejonge Hi! Je kunt hier de volgorde van vaccinatie zien zoals deze momenteel is: https://t.co/4Mk0DQXXvy. ^ms,-1,2,1
